file,new_file,text_fixes
1-6-datacenter-topology.mdx,1-6-datacenter-topology.mdx,4
2-establish-a-theory-of-a-probable-cause-and-question-the-obvious.mdx,2-establish-a-theory-of-a-probable-cause-and-question-the-obvious.mdx,9
6-verify-full-system-funcainality-and-if-applicablie-implement-preventive-measur.mdx,6-verify-full-system-funcainality-and-if-applicablie-implement-preventive-measur.mdx,1
access-control-list-acl.mdx,access-control-list-acl.mdx,4
address-resolution-protocol-attacks.mdx,address-resolution-protocol-attacks.mdx,5
address-translation.mdx,address-translation.mdx,2
arp.mdx,arp.mdx,2
assigning-ip-addresses.mdx,assigning-ip-addresses.mdx,12
audits-and-compliance.mdx,audits-and-compliance.mdx,1
authentication-methods.mdx,authentication-methods.mdx,1
cable-distribution-systems.mdx,cable-distribution-systems.mdx,1
captive-portal-issues.mdx,captive-portal-issues.mdx,30
cellular-connections.mdx,cellular-connections.mdx,2
cloud-and-the-datcenter.mdx,cloud-and-the-datcenter.mdx,3
cloud-computing.mdx,cloud-computing.mdx,9
cloud-security.mdx,cloud-security.mdx,7
cloud-service-models.mdx,cloud-service-models.mdx,1
configuration-management.mdx,configuration-management.mdx,1
copper-network-connectors.mdx,copper-network-connectors.mdx,1
dhcp-dynamic-host-configuration-protocol.mdx,dhcp-dynamic-host-configuration-protocol.mdx,7
dhcp-issues.mdx,dhcp-issues.mdx,3
digital-certificate.mdx,digital-certificate.mdx,3
dns-domain-name-system.mdx,dns-domain-name-system.mdx,46
domain-name-system-attacks.mdx,domain-name-system-attacks.mdx,19
dsl-digital-subscriber-line.mdx,dsl-digital-subscriber-line.mdx,2
encapsulation.mdx,encapsulation.mdx,3
fiber-optic-connections.mdx,fiber-optic-connections.mdx,1
firewalls.mdx,firewalls.mdx,5
honeypots.mdx,honeypots.mdx,5
hvac-heating-ventilation-and-air-conditioning-hvac-system.mdx,hvac-heating-ventilation-and-air-conditioning-hvac-system.mdx,1
interface-port-issues.mdx,interface-port-issues.mdx,1
intergrations-and-api.mdx,intergrations-and-api.mdx,4
internet-control-message-protocol-icmp.mdx,internet-control-message-protocol-icmp.mdx,3
iot.mdx,iot.mdx,3
ip-address-management-ipam.mdx,ip-address-management-ipam.mdx,3
ip-addressing.mdx,ip-addressing.mdx,17
ipconfig-ifconfig-and-ip.mdx,ipconfig-ifconfig-and-ip.mdx,15
ipv4-address-types.mdx,ipv4-address-types.mdx,7
ipv4-to-ipv6.mdx,ipv4-to-ipv6.mdx,20
ipv4.mdx,ipv4.mdx,7
ipv6-addresses.mdx,ipv6-addresses.mdx,11
jumpbox.mdx,jumpbox.mdx,1
layer-1-physical.mdx,layer-1-physical.mdx,3
layer-2-data-link.mdx,layer-2-data-link.mdx,1
layer-3-network.mdx,layer-3-network.mdx,12
layer-4-transport.mdx,layer-4-transport.mdx,6
layer-5-session.mdx,layer-5-session.mdx,1
layer-7-application.mdx,layer-7-application.mdx,9
leased-line-connections.mdx,leased-line-connections.mdx,3
log-aggragarion-with-syslog.mdx,log-aggragarion-with-syslog.mdx,2
logical-security.mdx,logical-security.mdx,1
mac-flooding.mdx,mac-flooding.mdx,5
mfa-multifator-authentication.mdx,mfa-multifator-authentication.mdx,1
more-network-device-commands.mdx,more-network-device-commands.mdx,4
multiprotocol-label-switching-mpls.mdx,multiprotocol-label-switching-mpls.mdx,5
nac-network-access-control.mdx,nac-network-access-control.mdx,5
network-devices.mdx,network-devices.mdx,12
network-fundimengals.mdx,network-fundamentals.mdx,3
network-moitoring.mdx,network-moitoring.mdx,1
network-performance-metrics.mdx,network-performance-metrics.mdx,1
network-port-fundamentals.mdx,network-port-fundamentals.mdx,10
network-sensor.mdx,network-sensor.mdx,2
network-service-ports-and-protocols.mdx,network-service-ports-and-protocols.mdx,9
network-services.mdx,network-services.mdx,4
network.mdx,network.mdx,2
nslookup-dig-and-hostname.mdx,nslookup-dig-and-hostname.mdx,3
obj-1-2-network-componets.mdx,obj-1-2-network-componets.mdx,2
obj-1-6-wired-network-topology.mdx,obj-1-6-wired-network-topology.mdx,1
on-path-attack.mdx,on-path-attack.mdx,11
osi-model.mdx,osi-model.mdx,1
power-over-ethernet-poe.mdx,power-over-ethernet-poe.mdx,1
qos-quality-of-service.mdx,qos-quality-of-service.mdx,5
quick-notes.mdx,quick-notes.mdx,6
remote-access-ports-and-protocols.mdx,remote-access-ports-and-protocols.mdx,1
remote-access-technology.mdx,remote-access-technology.mdx,1
rouge-device.mdx,rouge-device.mdx,3
route-selection.mdx,route-selection.mdx,2
routing-fundamentals.mdx,routing-fundamentals.mdx,4
routing-issues.mdx,routing-issues.mdx,2
routing-protocols.mdx,routing-protocols.mdx,2
scada-ics.mdx,scada-ics.mdx,1
secure-access-secure-edge-sase-securit-service-edge-sse.mdx,secure-access-secure-edge-sase-securit-service-edge-sse.mdx,2
segmentation-zones.mdx,segmentation-zones.mdx,1
signal-degradation.mdx,signal-degradation.mdx,1
slaac-statless-adress-autoconfiguration.mdx,slaac-statless-adress-autoconfiguration.mdx,8
snmp-simple-network-management-protocol.mdx,snmp-simple-network-management-protocol.mdx,5
software-defined-networking.mdx,software-defined-networking.mdx,1
software-tools.mdx,software-tools.mdx,2
stp-spanning-tree-protocol-802-1d.mdx,stp-spanning-tree-protocol-802-1d.mdx,4
take-1.mdx,take-1.mdx,1
tansceivers.mdx,tansceivers.mdx,1
the-cia-triad.mdx,the-cia-triad.mdx,1
transmission-crontol-protocol-tcp.mdx,transmission-crontol-protocol-tcp.mdx,4
troubleshooting-network-services.mdx,troubleshooting-network-services.mdx,1
troubleshooting-wireless-networks.mdx,troubleshooting-wireless-networks.mdx,2
user-datagram-protocol-udp.mdx,user-datagram-protocol-udp.mdx,2
v-extensible-local-are-network.mdx,v-extensible-local-are-network.mdx,1
virtual-local-access-networks-vlan.mdx,virtual-local-access-networks-vlan.mdx,14
vlan-configuration.mdx,vlan-configuration.mdx,9
vlan-hopping.mdx,vlan-hopping.mdx,9
vpn-virtual-private-network.mdx,vpn-virtual-private-network.mdx,4
web-ports-and-protocols.mdx,web-ports-and-protocols.mdx,12
wireless-considerations-in-troubleshooting.mdx,wireless-considerations-in-troubleshooting.mdx,3
wireless-frequencies.mdx,wireless-frequencies.mdx,1
wireless-network-topology.mdx,wireless-network-topology.mdx,1
wireless-security.mdx,wireless-security.mdx,6
wirless-network-types.mdx,wirless-network-types.mdx,3
zero-trust-archetecture.mdx,zero-trust-archetecture.mdx,2
